part_id,part_name,part_class,supplier_id,business_unit,site,unit_cost,standard_lead_time_days,monthly_demand_units,safety_stock_units,criticality,lifecycle_state
PRT035,Radiation tolerant FPGA 035,Radiation tolerant FPGA,SUP026,C4ISR systems,Concord development,18810,115,15,12,Flight critical,Production
PRT036,Radiation tolerant FPGA 036,Radiation tolerant FPGA,SUP008,Space electronics,Concord development,11855,148,48,30,Program critical,Sustainment
PRT037,Power subsystem 037,Power subsystem,SUP004,Optical sensors,Concord development,15618,91,17,6,Program critical,NPI
PRT038,Power subsystem 038,Power subsystem,SUP007,Optical sensors,Concord development,13191,78,42,17,Flight critical,Production
PRT039,RF module 039,RF module,SUP022,Space electronics,Concord development,10897,145,17,8,Program critical,Sustainment
PRT040,RF module 040,RF module,SUP012,C4ISR systems,Fairfax HQ,9205,68,29,27,Flight critical,NPI
PRT041,Mechanical enclosure 041,Mechanical enclosure,SUP001,C4ISR systems,Chantilly production,3300,30,27,18,Flight critical,NPI
PRT042,Radiation tolerant FPGA 042,Radiation tolerant FPGA,SUP025,Optical sensors,Fairfax HQ,16538,127,37,16,Program critical,Production
PRT043,Radiation tolerant FPGA 043,Radiation tolerant FPGA,SUP001,Space electronics,Concord development,27940,131,24,15,Standard,Production
PRT044,Radiation tolerant FPGA 044,Radiation tolerant FPGA,SUP018,C4ISR systems,Concord development,27908,126,34,12,Standard,Production
PRT045,Optical assembly 045,Optical assembly,SUP004,Optical sensors,Chantilly production,21016,174,14,8,Standard,Production
PRT046,Cable harness 046,Cable harness,SUP022,Optical sensors,Concord development,3440,89,41,22,Flight critical,Production
PRT047,RF module 047,RF module,SUP029,Optical sensors,Chantilly production,10032,112,11,5,Flight critical,Production
PRT048,RF module 048,RF module,SUP026,Space electronics,Chantilly production,7831,28,13,7,Standard,Production
PRT049,Space grade memory 049,Space grade memory,SUP017,C4ISR systems,Chantilly production,5204,99,21,13,Standard,Production
PRT050,Radiation tolerant FPGA 050,Radiation tolerant FPGA,SUP030,C4ISR systems,Fairfax HQ,17592,133,54,38,Program critical,Production
PRT051,RF module 051,RF module,SUP010,C4ISR systems,Chantilly production,10683,54,49,21,Flight critical,Production
PRT052,Radiation tolerant FPGA 052,Radiation tolerant FPGA,SUP011,Optical sensors,Concord development,23081,151,50,27,Program critical,Production
PRT053,Space grade memory 053,Space grade memory,SUP003,C4ISR systems,Concord development,7900,115,24,17,Flight critical,NPI
PRT054,Optical assembly 054,Optical assembly,SUP023,Space electronics,Concord development,19050,132,34,25,Flight critical,Production
PRT055,Optical assembly 055,Optical assembly,SUP030,C4ISR systems,Concord development,16722,169,33,15,Flight critical,Production
PRT056,Cable harness 056,Cable harness,SUP019,Space electronics,Chantilly production,1044,25,45,29,Standard,Production
PRT057,Radiation tolerant FPGA 057,Radiation tolerant FPGA,SUP015,Space electronics,Chantilly production,10695,150,68,59,Flight critical,Sustainment
PRT058,Cable harness 058,Cable harness,SUP025,C4ISR systems,Fairfax HQ,3859,32,68,57,Program critical,Production
PRT059,Space grade memory 059,Space grade memory,SUP018,Space electronics,Concord development,8926,98,16,14,Standard,Production
PRT060,Space grade memory 060,Space grade memory,SUP023,Optical sensors,Concord development,10047,78,38,15,Program critical,Sustainment
PRT061,Radiation tolerant FPGA 061,Radiation tolerant FPGA,SUP025,C4ISR systems,Concord development,18126,151,12,11,Flight critical,NPI
PRT062,Mechanical enclosure 062,Mechanical enclosure,SUP001,Space electronics,Chantilly production,6107,57,49,27,Program critical,NPI
PRT063,Radiation tolerant FPGA 063,Radiation tolerant FPGA,SUP006,Space electronics,Concord development,23628,188,17,10,Standard,Sustainment
PRT064,Power subsystem 064,Power subsystem,SUP020,C4ISR systems,Chantilly production,17032,193,34,13,Program critical,Production
PRT065,Radiation tolerant FPGA 065,Radiation tolerant FPGA,SUP012,Optical sensors,Concord development,17214,131,40,25,Flight critical,Production
PRT066,Cable harness 066,Cable harness,SUP008,C4ISR systems,Fairfax HQ,2458,42,10,7,Flight critical,Production
PRT067,RF module 067,RF module,SUP003,C4ISR systems,Fairfax HQ,4668,100,51,43,Flight critical,Production
PRT068,RF module 068,RF module,SUP017,Space electronics,Fairfax HQ,7145,84,14,6,Program critical,NPI
PRT069,Cable harness 069,Cable harness,SUP004,Space electronics,Chantilly production,3425,46,33,20,Flight critical,Production
PRT070,RF module 070,RF module,SUP015,C4ISR systems,Chantilly production,8172,88,30,11,Flight critical,Production
PRT071,RF module 071,RF module,SUP012,Space electronics,Fairfax HQ,7378,76,69,27,Flight critical,Production
PRT072,Radiation tolerant FPGA 072,Radiation tolerant FPGA,SUP024,Space electronics,Fairfax HQ,24697,164,12,8,Program critical,Production
